Date,Close
1992-09-01,6.56
1992-10-01,6.23
1992-11-02,6.88
1992-12-01,6.94
1993-01-04,6.6
1993-02-01,6.38
1993-03-01,5.94
1993-04-01,6.06
1993-05-03,5.96
1993-06-01,6.07
1993-07-01,5.8
1993-08-02,5.85
1993-09-01,5.46
1993-10-01,5.34
1993-11-02,5.606
1993-12-01,5.783
1994-01-03,5.887
1994-02-01,5.715
1994-03-01,6.28
1994-04-04,7.152
1994-05-02,7.078
1994-06-01,7.107
1994-07-01,7.32
1994-08-01,7.113
1994-09-01,7.174
1994-10-03,7.65
1994-11-01,7.893
1994-12-01,7.911
1995-01-03,7.877
1995-02-01,7.638
1995-03-01,7.214
1995-04-03,7.132
1995-05-01,7.072
1995-06-01,6.185
1995-07-03,6.203
1995-08-01,6.489
1995-09-01,6.21
1995-10-02,6.144
1995-11-01,5.962
1995-12-01,5.704
1996-01-02,5.587
1996-02-01,5.601
1996-03-01,5.978
1996-04-01,6.308
1996-05-01,6.666
1996-06-03,6.861
1996-07-01,6.724
1996-08-01,6.626
1996-09-03,6.892
1996-10-01,6.629
1996-11-01,6.362
1996-12-02,6.052
1997-01-02,6.524
1997-02-03,6.437
1997-03-03,6.557
1997-04-01,6.88
1997-05-01,6.68
1997-06-02,6.646
1997-07-01,6.438
1997-08-01,6.18
1997-09-02,6.295
1997-10-01,6.026
1997-11-03,5.894
1997-12-01,5.846
1998-01-02,5.655
1998-02-02,5.557
1998-03-02,5.703
1998-04-01,5.603
1998-05-01,5.654
1998-06-01,5.521
1998-07-01,5.426
1998-08-03,5.445
1998-09-01,5.036
1998-10-01,4.304
1998-11-02,4.744
1998-12-01,4.659
1999-01-04,4.677
1999-02-01,4.745
1999-03-01,5.384
1999-04-01,5.272
1999-05-03,5.359
1999-06-01,5.766
1999-07-01,5.84
1999-08-02,5.911
1999-09-01,5.974
1999-10-01,5.986
1999-11-01,6.046
1999-12-01,6.193
2000-01-03,6.548
2000-02-01,6.617
2000-03-01,6.379
2000-04-03,5.986
2000-05-01,6.255
2000-06-01,6.195
2000-07-03,5.98
2000-08-01,5.991
2000-09-01,5.675
2000-10-02,5.82
2000-11-01,5.736
2000-12-01,5.513
2001-01-02,4.917
2001-02-01,5.061
2001-03-01,4.856
2001-04-02,4.971
2001-05-01,5.288
2001-06-01,5.354
2001-07-02,5.331
2001-08-01,5.066
2001-09-04,4.979
2001-10-01,4.543
2001-11-01,4.217
2001-12-03,4.703
2002-01-02,5.157
2002-02-01,4.979
2002-03-01,4.971
2002-04-01,5.428
2002-05-01,5.058
2002-06-03,5.04
2002-07-01,4.815
2002-08-01,4.401
2002-09-03,3.98
2002-10-01,3.699
2002-11-01,3.977
2002-12-02,4.219
2003-01-02,4.032
2003-02-03,3.992
2003-03-03,3.676
2003-04-01,3.827
2003-05-01,3.856
2003-06-02,3.429
2003-07-01,3.55
2003-08-01,4.42
2003-09-02,4.6
2003-10-01,3.93
2003-11-03,4.37
2003-12-01,4.39
2004-01-02,4.37
2004-02-02,4.15
2004-03-01,3.99
2004-04-01,3.898
2004-05-03,4.501
2004-06-01,4.704
2004-07-01,4.564
2004-08-02,4.452
2004-09-01,4.123
2004-10-01,4.191
2004-11-01,4.09
2004-12-01,4.375
2005-01-03,4.219
2005-02-01,4.136
